model_specification,horizon,dependent_variable,sample_size,event_count,r_squared,adjusted_r_squared,covariance_estimator,sample_label,status,term,coefficient,standard_error,ci_lower,ci_upper,p_value_context_only
primary_linear,5,initiator_reversal,173,173,0.028601822513691588,-0.0004819552553594342,HC3,adequate_analysis_sample,estimated_confirmatory,VolumeMeasure,0.0012830214699136484,0.012753844025144371,-0.023714053483810674,0.02628009642363797,0.9198689452533417
primary_linear,5,initiator_reversal,173,173,0.028601822513691588,-0.0004819552553594342,HC3,adequate_analysis_sample,estimated_confirmatory,EventDirection,0.004886271611749617,0.007197725970750486,-0.009221012061509935,0.01899355528500917,0.4972245159257124
targeted_shock_quadratic,5,initiator_reversal,173,173,0.030532187592709148,-0.0045088176750243125,HC3,adequate_analysis_sample,estimated_confirmatory,const,0.016244321723146684,0.021301752302669504,-0.02550634559767871,0.05799498904397207,0.4457130350950492
targeted_shock_quadratic,5,initiator_reversal,173,173,0.030532187592709148,-0.0045088176750243125,HC3,adequate_analysis_sample,estimated_confirmatory,EquipmentIndicator,-0.010343041846531138,0.006886451031137223,-0.023840237848858813,0.003154154155796538,0.1331123955876487
targeted_shock_quadratic,5,initiator_reversal,173,173,0.030532187592709148,-0.0045088176750243125,HC3,adequate_analysis_sample,estimated_confirmatory,ShockMagnitude,-0.0041991124598895185,0.006674656040833332,-0.01728119790911556,0.00888297298933652,0.529275122008597
targeted_shock_quadratic,5,initiator_reversal,173,173,0.030532187592709148,-0.0045088176750243125,HC3,adequate_analysis_sample,estimated_confirmatory,SectorMomentum,-0.052158334153019126,0.046261311013790676,-0.14282883761765497,0.03851216931161673,0.2595429605359847
targeted_shock_quadratic,5,initiator_reversal,173,173,0.030532187592709148,-0.0045088176750243125,HC3,adequate_analysis_sample,estimated_confirmatory,VolumeMeasure,0.001173001376919225,0.012749412189394438,-0.02381538733834983,0.02616139009218828,0.9266945837303274
targeted_shock_quadratic,5,initiator_reversal,173,173,0.030532187592709148,-0.0045088176750243125,HC3,adequate_analysis_sample,estimated_confirmatory,EventDirection,0.005223952152629248,0.0073454020002374784,-0.009172771219804683,0.019620675525063178,0.47696855393467896
targeted_shock_quadratic,5,initiator_reversal,173,173,0.030532187592709148,-0.0045088176750243125,HC3,adequate_analysis_sample,estimated_confirmatory,ShockMagnitudeSquared,0.0002214941775054732,0.0004253407772729555,-0.0006121584271057924,0.0010551467821167386,0.6025442671629107
primary_linear,10,peer_car,114,114,0.027828782268777053,-0.0171791444780387,HC3,adequate_analysis_sample,estimated_confirmatory,const,0.010227466297955904,0.011515454117937137,-0.012342409038824342,0.032797341634736146,0.374459335771279
primary_linear,10,peer_car,114,114,0.027828782268777053,-0.0171791444780387,HC3,adequate_analysis_sample,estimated_confirmatory,EquipmentIndicator,-0.011812373507411184,0.0068307194021349806,-0.025200337524094715,0.0015755905092723482,0.08375514310836692
primary_linear,10,peer_car,114,114,0.027828782268777053,-0.0171791444780387,HC3,adequate_analysis_sample,estimated_confirmatory,ShockMagnitude,-0.0009739399039026601,0.0016062234921144492,-0.004122080099569136,0.0021742002917638156,0.5442797634197591
primary_linear,10,peer_car,114,114,0.027828782268777053,-0.0171791444780387,HC3,adequate_analysis_sample,estimated_confirmatory,SectorMomentum,0.03812961621629108,0.033020422617515165,-0.026589222868330466,0.10284845530091263,0.24820170989312618
primary_linear,10,peer_car,114,114,0.027828782268777053,-0.0171791444780387,HC3,adequate_analysis_sample,estimated_confirmatory,VolumeMeasure,-0.005928999846648296,0.011743496607060925,-0.02894583024905603,0.017087830555759437,0.6136465147617587
primary_linear,10,peer_car,114,114,0.027828782268777053,-0.0171791444780387,HC3,adequate_analysis_sample,estimated_confirmatory,EventDirection,0.005976468082026827,0.007906033534350397,-0.009519072905865863,0.021472009069919515,0.44968660407949346
targeted_shock_quadratic,10,peer_car,114,114,0.031006415994344838,-0.02332967282840226,HC3,adequate_analysis_sample,estimated_confirmatory,const,-0.0006028168472031453,0.040548168458041725,-0.08007576666402795,0.07887013296962166,0.9881385385147762
targeted_shock_quadratic,10,peer_car,114,114,0.031006415994344838,-0.02332967282840226,HC3,adequate_analysis_sample,estimated_confirmatory,EquipmentIndicator,-0.011919133949775111,0.006756942148988,-0.025162497207412267,0.0013242293078620446,0.07773476995077536
