null_iteration,horizon,return_specification,peer_definition,outcome,statistic,sample_size,detected_event_count
13,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0007083235827334284,178,223
13,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0015182889366280351,178,223
13,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0008099653538946063,178,223
13,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.001091929526568066,126,223
13,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0015470096955479574,126,223
13,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0026389392221160242,126,223
13,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.001107569884199008,79,223
13,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0010672278162865048,79,223
13,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.002174797700485512,79,223
13,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.005305843494042001,28,223
13,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.005055126314597476,28,223
13,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.010360969808639478,28,223
14,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.002151874411166279,192,233
14,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0005973880690937134,192,233
14,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0027492624802599925,192,233
14,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0003531410465960902,113,233
14,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0015206794088052837,113,233
14,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0011675383622091937,113,233
14,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0020994139050739546,68,233
14,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0007364266281507898,68,233
14,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0028358405332247435,68,233
14,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.012852031403278915,23,233
14,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.008219263462104894,23,233
14,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.02107129486538381,23,233
15,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0015374475824800201,194,236
15,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.00039303699122634724,194,236
15,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0011444105912536725,194,236
15,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0009993169661653535,142,236
15,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-9.323071341265279e-05,142,236
15,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.000906086252752701,142,236
15,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0025236170482173187,108,236
15,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0009154936910692481,108,236
15,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0034391107392865664,108,236
15,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0004090571048147516,36,236
15,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0017411322605704925,36,236
15,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0013320751557557367,36,236
16,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0018945520549101997,193,226
16,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0006369174545829556,193,226
16,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0012576346003272442,193,226
16,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0006833091118353121,132,226
16,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.000530578881100325,132,226
16,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0012138879929356383,132,226
