variation_type,specification,horizon,outcome,event_count,sample_size,mean,median,ci_lower,ci_upper,sample_label,status,notes
return_definition,raw_returns,1,peer_catchup,226,226,0.0027822586438379375,0.002258155387528049,-0.0016829804334256887,0.007247497721101564,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,raw_returns,1,initiator_reversal,226,226,0.0026140524863425985,0.00010561686685156557,-0.004250770960657798,0.009478875933342994,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,raw_returns,3,convergence,196,196,0.0020598446295170695,0.0012044470074497222,-0.004299619114086591,0.008419308373120729,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,raw_returns,3,peer_catchup,196,196,0.004132108131535899,0.005747242911526231,-0.003062728316569358,0.011326944579641157,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,raw_returns,3,initiator_reversal,196,196,-0.00207226350201883,-0.00649633755207113,-0.010550519253903696,0.006405992249866035,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,raw_returns,5,convergence,173,173,0.003760951149214081,0.0009755050179123675,-0.003995375875189864,0.011517278173618027,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,raw_returns,5,peer_catchup,173,173,0.005569437556695679,0.005861815561001349,-0.0031188266719591965,0.014257701785350555,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,raw_returns,5,initiator_reversal,173,173,-0.001808486407481598,-0.007974238375718867,-0.011275618775069185,0.007658645960105989,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,raw_returns,10,convergence,114,114,-0.0014756532783217818,-0.004646014321721379,-0.01572711587556608,0.01277580931892252,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,raw_returns,10,peer_catchup,114,114,0.0034877097594594444,0.0046142649087955,-0.009479353872824718,0.01645477339174361,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,raw_returns,10,initiator_reversal,114,114,-0.004963363037781226,-0.012431506736361897,-0.020299352212403494,0.010372626136841041,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,raw_returns,20,convergence,30,30,0.005218087314219032,0.025003100955835703,-0.04277756447585766,0.05321373910429572,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,raw_returns,20,peer_catchup,30,30,-0.002080056934488561,0.015208729138878775,-0.035729093268174035,0.031568979399196916,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,raw_returns,20,initiator_reversal,30,30,0.007298144248707594,-0.002200878090715841,-0.03751106719371421,0.052107355691129405,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,semiconductor_factor_adjusted,1,convergence,226,226,0.0053963111301805365,0.002442522587469475,0.0001672700765492762,0.010625352183811797,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,semiconductor_factor_adjusted,1,peer_catchup,226,226,0.0026150612839820784,0.000272013731849055,0.0001812533690753169,0.00504886919888884,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,semiconductor_factor_adjusted,1,initiator_reversal,226,226,0.0027812498461984568,0.0025580787799749246,-0.00211619370151904,0.007678693393915954,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,semiconductor_factor_adjusted,3,convergence,196,196,0.0020598446295170703,0.001204447007449717,-0.00429961911408659,0.00841930837312073,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,semiconductor_factor_adjusted,3,peer_catchup,196,196,0.001762908247353488,-0.0003172973315667257,-0.0015730388695140312,0.005098855364221007,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,semiconductor_factor_adjusted,3,initiator_reversal,196,196,0.0002969363821635826,-0.0018573194700174274,-0.005727176439929365,0.00632104920425653,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,semiconductor_factor_adjusted,5,convergence,173,173,0.003760951149214081,0.0009755050179123606,-0.003995375875189864,0.011517278173618027,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,semiconductor_factor_adjusted,5,peer_catchup,173,173,0.0021766361934518535,-0.0009148276990219072,-0.0019951318677767114,0.0063484042546804184,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,semiconductor_factor_adjusted,5,initiator_reversal,173,173,0.0015843149557622281,-0.0008878947378266047,-0.005285901951434516,0.008454531862958973,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
return_definition,semiconductor_factor_adjusted,10,convergence,114,114,-0.0014756532783217814,-0.004646014321721376,-0.01572711587556608,0.01277580931892252,adequate_descriptive_sample,estimated_exploratory,common frozen baseline event sample
